Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ABB,2010-01-15 to 2025-01-11,112828.23,-1030.48,7
ADANIENSOL,2010-01-15 to 2025-01-11,-25708.03,-25708.03,1
ADANIENT,2010-01-15 to 2025-01-11,119439.49,-15159.1,5
ADANIGREEN,2010-01-15 to 2025-01-11,-39294.35,-39447.16,2
ADANIPORTS,2010-01-15 to 2025-01-11,29635.85,-6678.98,6
ADANIPOWER,2010-01-15 to 2025-01-11,91923.1,-7116.04,3
ATGL,2010-01-15 to 2025-01-11,116548.98,-20424.01,3
AMBUJACEM,2010-01-15 to 2025-01-11,95450.59,-728.16,7
APOLLOHOSP,2010-01-15 to 2025-01-11,43788.23,,3
ASIANPAINT,2010-01-15 to 2025-01-11,81028.84,1420.3,5
DMART,2010-01-15 to 2025-01-11,55112.12,929.55,3
AXISBANK,2010-01-15 to 2025-01-11,143047.46,-3186.19,8
BAJAJ-AUTO,2010-01-15 to 2025-01-11,119052.5,,7
BAJFINANCE,2010-01-15 to 2025-01-11,178153.25,,4
BAJAJFINSV,2010-01-15 to 2025-01-11,191330.23,,5
BAJAJHLDNG,2010-01-15 to 2025-01-11,61942.76,,4
BANKBARODA,2010-01-15 to 2025-01-11,15994.42,-7550.96,5
BEL,2010-01-15 to 2025-01-11,16876.66,,3
BHEL,2010-01-15 to 2025-01-11,-11915.66,-15761.07,2
BPCL,2010-01-15 to 2025-01-11,149716.83,,7
BHARTIARTL,2010-01-15 to 2025-01-11,55666.95,,5
BOSCHLTD,2010-01-15 to 2025-01-11,26071.45,,3
BRITANNIA,2010-01-15 to 2025-01-11,113688.86,,6
CANBK,2010-01-15 to 2025-01-11,-1031.06,-1496.18,2
CHOLAFIN,2010-01-15 to 2025-01-11,159716.04,,5
CIPLA,2010-01-15 to 2025-01-11,51755.73,,4
COALINDIA,2010-01-15 to 2025-01-11,30292.0,-4681.84,4
DLF,2010-01-15 to 2025-01-11,99497.55,-1441.39,7
DABUR,2010-01-15 to 2025-01-11,110482.41,2584.93,7
DIVISLAB,2010-01-15 to 2025-01-11,78218.24,,4
