Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
ABB,2011-02-11,2011-07-15,5.13,583.71,802.37,37460.15,112.57,Completed
ABB,2011-11-22,2013-12-23,25.4,551.84,613.53,11178.74,5.21,Completed
ABB,2015-09-24,2016-07-18,9.93,988.48,1154.61,16807.5,20.96,Completed
ABB,2016-11-11,2017-04-21,5.37,972.23,1271.55,30787.19,83.76,Completed
ABB,2018-06-15,2018-12-07,5.83,1102.78,1267.28,14917.25,33.64,Completed
ABB,2020-02-25,2020-12-17,9.87,1200.2,1232.7,2707.88,3.35,Completed
ABB,2025-01-09,Still Holding,0.03,6482.45,6415.65,-1030.48,,Holding
ADANIENSOL,2024-10-23,Still Holding,2.63,981.6,729.25,-25708.03,,Holding
ADANIENT,2011-10-11,2014-04-10,30.4,70.31,72.02,2419.62,0.96,Completed
ADANIENT,2015-08-03,2017-03-01,19.2,46.21,53.4,15566.04,9.6,Completed
ADANIENT,2019-05-08,2019-10-25,5.67,120.9,181.3,49958.64,138.68,Completed
ADANIENT,2023-03-31,2024-01-01,9.2,1750.45,2917.2,66654.29,96.49,Completed
ADANIENT,2024-10-28,Still Holding,2.47,2798.65,2374.4,-15159.1,,Holding
ADANIGREEN,2022-12-28,2024-02-15,13.8,1897.85,1900.75,152.81,0.13,Completed
ADANIGREEN,2024-11-11,Still Holding,2.0,1557.4,943.05,-39447.16,,Holding
ADANIPORTS,2011-02-28,2011-11-01,8.2,138.0,160.1,16014.5,24.66,Completed
ADANIPORTS,2011-12-16,2012-12-24,12.47,126.65,135.35,6869.33,6.7,Completed
ADANIPORTS,2015-11-03,2016-10-25,11.9,291.2,312.8,7417.57,7.59,Completed
ADANIPORTS,2018-06-07,2019-05-20,11.57,380.05,400.1,5275.63,5.56,Completed
ADANIPORTS,2019-12-30,2020-11-05,10.37,365.95,368.65,737.8,0.87,Completed
ADANIPORTS,2024-12-23,Still Holding,0.6,1191.8,1112.2,-6678.98,,Holding
ADANIPOWER,2011-02-28,2021-06-07,125.07,119.15,126.9,6504.41,0.61,Completed
ADANIPOWER,2023-02-09,2023-08-29,6.7,172.8,332.7,92534.73,228.58,Completed
ADANIPOWER,2024-12-11,Still Holding,1.0,519.25,482.3,-7116.04,,Holding
ATGL,2020-03-20,2020-09-10,5.8,99.1,208.3,110191.73,375.06,Completed
ATGL,2023-03-06,2024-02-07,11.27,820.35,1040.05,26781.26,29.21,Completed
ATGL,2024-08-26,Still Holding,4.57,856.1,681.25,-20424.01,,Holding
AMBUJACEM,2011-07-07,2011-10-05,3.0,129.4,149.05,15185.48,77.42,Completed
AMBUJACEM,2013-06-12,2014-05-14,11.2,174.3,223.95,28485.37,31.3,Completed
AMBUJACEM,2015-08-14,2016-06-10,10.03,226.3,235.3,3977.02,4.84,Completed
AMBUJACEM,2018-03-19,2019-03-27,12.43,231.15,232.25,475.88,0.47,Completed
AMBUJACEM,2019-08-30,2020-09-15,12.73,202.35,217.45,7462.31,7.12,Completed
AMBUJACEM,2022-03-03,2022-08-22,5.73,290.2,408.0,40592.69,106.06,Completed
AMBUJACEM,2024-11-27,Still Holding,1.47,515.0,511.25,-728.16,,Holding
APOLLOHOSP,2013-12-11,2014-06-05,5.87,850.4,958.15,12670.51,28.07,Completed
APOLLOHOSP,2016-06-28,2019-01-14,31.0,1319.15,1322.6,261.53,0.1,Completed
APOLLOHOSP,2022-05-11,2022-11-24,6.57,3679.65,4815.05,30856.19,64.59,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.37,2288.25,2320.75,1420.3,,Holding
DMART,2019-05-02,2019-10-07,5.27,1265.2,1847.3,46008.55,139.74,Completed
DMART,2022-05-09,2023-09-14,16.43,3520.3,3808.05,8174.02,5.99,Completed
DMART,2024-12-13,Still Holding,0.93,3652.3,3686.25,929.55,,Holding
AXISBANK,2011-06-16,2012-11-27,17.67,243.57,258.01,5928.48,4.05,Completed
AXISBANK,2013-08-01,2014-03-07,7.27,217.16,281.36,29563.45,54.29,Completed
AXISBANK,2015-10-07,2016-07-01,8.93,496.8,542.9,9279.4,12.85,Completed
AXISBANK,2017-01-20,2017-06-29,5.33,450.75,512.1,13610.64,33.79,Completed
AXISBANK,2018-06-27,2018-08-30,2.13,507.85,649.75,27941.32,307.66,Completed
AXISBANK,2020-03-17,2020-11-25,8.43,488.35,599.85,22831.98,34.54,Completed
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.07,1074.95,1040.7,-3186.19,,Holding
BAJAJ-AUTO,2012-07-17,2012-10-22,3.23,1445.05,1786.4,23622.02,122.1,Completed
BAJAJ-AUTO,2015-04-20,2015-12-04,7.6,2022.05,2472.55,22279.37,37.99,Completed
BAJAJ-AUTO,2016-03-16,2016-06-09,2.83,2250.0,2592.35,15215.56,83.71,Completed
BAJAJ-AUTO,2018-05-09,2019-03-27,10.73,2872.0,2980.1,3763.93,4.28,Completed
BAJAJ-AUTO,2020-05-07,2020-10-12,5.27,2406.55,3022.75,25605.12,69.32,Completed
BAJAJ-AUTO,2021-11-12,2022-06-06,6.87,3635.05,3817.0,5005.43,9.04,Completed
BAJAJ-AUTO,2022-12-28,2023-04-28,4.03,3586.85,4431.95,23561.07,89.31,Completed
BAJFINANCE,2011-06-24,2012-02-02,7.43,56.37,75.18,33367.8,60.21,Completed
BAJFINANCE,2020-05-06,2020-11-10,6.27,2106.25,4208.55,99812.45,283.4,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
BAJAJFINSV,2011-12-14,2012-04-23,4.37,39.56,68.99,74407.07,371.04,Completed
BAJAJFINSV,2013-05-15,2014-04-07,10.9,75.47,77.05,2086.79,2.33,Completed
BAJAJFINSV,2020-05-05,2020-11-25,6.8,462.92,871.78,88320.88,210.35,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
BAJAJHLDNG,2011-07-06,2012-04-23,9.73,748.65,840.6,12282.1,15.58,Completed
BAJAJHLDNG,2013-07-05,2014-01-24,6.77,775.85,936.3,20680.55,40.21,Completed
BAJAJHLDNG,2018-05-14,2018-08-13,3.03,2614.4,2986.7,14240.36,70.57,Completed
BAJAJHLDNG,2020-03-17,2020-12-10,8.93,2657.1,3048.75,14739.75,20.59,Completed
BANKBARODA,2011-06-23,2012-12-27,18.43,169.55,171.92,1397.81,0.92,Completed
BANKBARODA,2013-06-12,2014-04-21,10.43,130.35,157.16,20567.7,24.37,Completed
BANKBARODA,2015-05-18,2016-08-30,15.67,162.0,164.15,1327.16,1.03,Completed
BANKBARODA,2017-09-27,2022-09-12,60.37,138.5,138.85,252.71,0.05,Completed
BANKBARODA,2024-10-15,Still Holding,2.9,243.81,225.4,-7550.96,,Holding
BEL,2010-11-08,2014-06-05,43.5,17.64,18.03,2204.73,0.61,Completed
BEL,2016-05-24,2016-09-30,4.3,33.6,37.72,12250.87,38.68,Completed
BEL,2018-04-13,2021-03-01,35.1,47.5,48.65,2421.06,0.83,Completed
BHEL,2011-01-05,2024-05-21,162.83,307.38,319.2,3845.41,0.28,Completed
BHEL,2024-12-13,Still Holding,0.93,242.75,204.49,-15761.07,,Holding
BPCL,2011-03-03,2011-08-17,5.57,47.57,57.12,20094.61,49.21,Completed
BPCL,2011-12-26,2012-05-21,4.9,41.74,60.48,44899.19,151.15,Completed
BPCL,2013-08-08,2014-02-14,6.33,46.0,59.3,28913.04,62.89,Completed
BPCL,2016-03-02,2016-06-07,3.23,131.1,162.71,24110.08,125.42,Completed
BPCL,2018-03-27,2019-10-07,18.63,210.38,245.32,16613.19,10.56,Completed
BPCL,2020-05-04,2021-01-08,8.3,173.95,200.07,15018.68,22.77,Completed
BPCL,2021-11-29,2023-05-08,17.5,183.73,183.85,68.04,0.05,Completed
BHARTIARTL,2012-01-06,2013-10-18,21.7,297.91,321.52,7926.19,4.37,Completed
BHARTIARTL,2015-11-19,2016-07-05,7.63,306.02,329.77,7760.26,12.65,Completed
BHARTIARTL,2016-11-11,2017-05-15,6.17,271.64,328.19,20819.51,45.23,Completed
BHARTIARTL,2018-05-11,2019-06-07,13.07,348.43,350.52,600.69,0.56,Completed
BHARTIARTL,2022-07-11,2022-10-18,3.3,660.55,783.15,18560.3,87.33,Completed
BOSCHLTD,2013-08-05,2014-03-19,7.53,8574.3,9810.7,14419.84,24.3,Completed
BOSCHLTD,2015-10-30,2016-06-29,8.1,20457.5,22686.2,10894.29,16.8,Completed
BOSCHLTD,2017-11-03,2023-11-23,73.7,21047.9,21207.3,757.32,0.12,Completed
BRITANNIA,2011-03-03,2011-07-18,4.57,173.25,241.15,39191.92,141.34,Completed
BRITANNIA,2012-11-07,2013-04-02,4.87,234.45,264.0,12603.97,34.55,Completed
BRITANNIA,2016-03-15,2016-08-24,5.4,1379.38,1716.47,24438.6,63.66,Completed
BRITANNIA,2019-07-10,2020-01-27,6.7,2769.55,3174.2,14610.67,28.1,Completed
BRITANNIA,2021-02-17,2021-08-20,6.13,3364.0,3895.95,15813.02,33.81,Completed
BRITANNIA,2022-02-17,2022-08-29,6.43,3464.1,3707.65,7030.68,13.71,Completed
CANBK,2011-06-08,2024-02-05,154.17,103.57,104.05,465.12,0.04,Completed
CANBK,2024-10-25,Still Holding,2.57,94.24,92.83,-1496.18,,Holding
CHOLAFIN,2011-05-09,2012-05-07,12.13,31.35,36.0,14832.53,14.88,Completed
