Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ABB,2005-01-16 to 2025-01-11,65444.79,-1030.48,6
ADANIENSOL,2005-01-16 to 2025-01-11,-25708.03,-25708.03,1
ADANIENT,2005-01-16 to 2025-01-11,302402.84,-15159.1,7
ADANIGREEN,2005-01-16 to 2025-01-11,-39294.35,-39447.16,2
ADANIPORTS,2005-01-16 to 2025-01-11,75472.83,-6678.98,7
ADANIPOWER,2005-01-16 to 2025-01-11,91923.1,-7116.04,3
ATGL,2005-01-16 to 2025-01-11,116548.98,-20424.01,3
AMBUJACEM,2005-01-16 to 2025-01-11,130734.32,-728.16,9
APOLLOHOSP,2005-01-16 to 2025-01-11,90762.89,,5
ASIANPAINT,2005-01-16 to 2025-01-11,101898.27,1420.3,6
DMART,2005-01-16 to 2025-01-11,55112.12,929.55,3
AXISBANK,2005-01-16 to 2025-01-11,156798.29,-3186.19,9
BAJAJ-AUTO,2005-01-16 to 2025-01-11,141400.31,,9
BAJFINANCE,2005-01-16 to 2025-01-11,185051.71,,5
BAJAJFINSV,2005-01-16 to 2025-01-11,126964.88,,5
BAJAJHLDNG,2005-01-16 to 2025-01-11,71556.65,,6
BANKBARODA,2005-01-16 to 2025-01-11,167747.44,-7550.96,8
BEL,2005-01-16 to 2025-01-11,16490.45,,4
BHEL,2005-01-16 to 2025-01-11,4744.47,-15761.07,3
BPCL,2005-01-16 to 2025-01-11,217440.58,,9
BHARTIARTL,2005-01-16 to 2025-01-11,74689.91,,7
BOSCHLTD,2005-01-16 to 2025-01-11,26165.38,,4
BRITANNIA,2005-01-16 to 2025-01-11,145468.55,,9
CANBK,2005-01-16 to 2025-01-11,34292.31,-1496.18,3
CHOLAFIN,2005-01-16 to 2025-01-11,211007.32,,7
CIPLA,2005-01-16 to 2025-01-11,95247.37,,7
COALINDIA,2005-01-16 to 2025-01-11,30292,-4681.84,4
DLF,2005-01-16 to 2025-01-11,-80.5,-1441.39,2
DABUR,2005-01-16 to 2025-01-11,112582.82,2584.93,8
DIVISLAB,2005-01-16 to 2025-01-11,81753.21,,5
DRREDDY,2005-01-16 to 2025-01-11,26311.25,,5
EICHERMOT,2005-01-16 to 2025-01-11,130915.93,,5
GAIL,2005-01-16 to 2025-01-11,46481.72,0,7
GODREJCP,2005-01-16 to 2025-01-11,75971.86,9973.78,6
GRASIM,2005-01-16 to 2025-01-11,75333.5,,6
HCLTECH,2005-01-16 to 2025-01-11,39840.66,,4
HDFCBANK,2005-01-16 to 2025-01-11,128074.16,,6
HDFCLIFE,2005-01-16 to 2025-01-11,88976.5,,4
HAVELLS,2005-01-16 to 2025-01-11,14016.46,,3
HEROMOTOCO,2005-01-16 to 2025-01-11,85082.85,-384.23,8
HINDALCO,2005-01-16 to 2025-01-11,24555.51,,5
HAL,2005-01-16 to 2025-01-11,122729.65,-2659.49,3
HINDUNILVR,2005-01-16 to 2025-01-11,99217.28,,7
ICICIBANK,2005-01-16 to 2025-01-11,144654.63,,7
ICICIGI,2005-01-16 to 2025-01-11,40.06,,1
ICICIPRULI,2005-01-16 to 2025-01-11,36476.71,,3
ITC,2005-01-16 to 2025-01-11,114673.24,,7
IOC,2005-01-16 to 2025-01-11,102769.6,-7168.3,7
IRCTC,2005-01-16 to 2025-01-11,-3666.13,-12710.06,2
IRFC,2005-01-16 to 2025-01-11,31292.53,0,2
INDUSINDBK,2005-01-16 to 2025-01-11,59521.45,-34545.71,6
NAUKRI,2005-01-16 to 2025-01-11,165983.34,,8
INFY,2005-01-16 to 2025-01-11,134478.58,,7
INDIGO,2005-01-16 to 2025-01-11,80354.07,,4
JSWENERGY,2005-01-16 to 2025-01-11,39485.45,,4
JSWSTEEL,2005-01-16 to 2025-01-11,174142.51,,8
JINDALSTEL,2005-01-16 to 2025-01-11,35491.44,,3
JIOFIN,2005-01-16 to 2025-01-11,-10709.75,-10709.75,1
KOTAKBANK,2005-01-16 to 2025-01-11,102641.76,,6
LTIM,2005-01-16 to 2025-01-11,83447.66,,3
LT,2005-01-16 to 2025-01-11,86618.53,,7
LICI,2005-01-16 to 2025-01-11,29936.62,-6965.14,2
LODHA,2005-01-16 to 2025-01-11,55454.44,,1
M&M,2005-01-16 to 2025-01-11,116569.99,,8
MARUTI,2005-01-16 to 2025-01-11,201640.14,5028.8,10
NHPC,2005-01-16 to 2025-01-11,41790.87,-4261.97,6
NTPC,2005-01-16 to 2025-01-11,11198.02,,2
NESTLEIND,2005-01-16 to 2025-01-11,104416.37,-1217.27,6
ONGC,2005-01-16 to 2025-01-11,88309.6,9935.21,6
PIDILITIND,2005-01-16 to 2025-01-11,101751.45,,5
PFC,2005-01-16 to 2025-01-11,63563.54,,6
POWERGRID,2005-01-16 to 2025-01-11,73413.96,,8
PNB,2005-01-16 to 2025-01-11,151626.66,-4870.29,7
RECLTD,2005-01-16 to 2025-01-11,74138.22,,6
RELIANCE,2005-01-16 to 2025-01-11,31446.13,-1495.14,5
SBILIFE,2005-01-16 to 2025-01-11,46494.21,,3
MOTHERSON,2005-01-16 to 2025-01-11,50763.07,,5
SHREECEM,2005-01-16 to 2025-01-11,80202.52,2638.51,7
SHRIRAMFIN,2005-01-16 to 2025-01-11,180555.38,,8
SIEMENS,2005-01-16 to 2025-01-11,61651.48,,6
SBIN,2005-01-16 to 2025-01-11,111642.6,,7
SUNPHARMA,2005-01-16 to 2025-01-11,33022.51,,2
TVSMOTOR,2005-01-16 to 2025-01-11,85395.76,,5
TCS,2005-01-16 to 2025-01-11,88827.86,,6
TATACONSUM,2005-01-16 to 2025-01-11,172193.88,1789.26,9
TATAMOTORS,2005-01-16 to 2025-01-11,93834.56,-1186.3,7
TATAPOWER,2005-01-16 to 2025-01-11,38599.72,-4731.98,5
TATASTEEL,2005-01-16 to 2025-01-11,29086.38,-8435.72,7
TECHM,2005-01-16 to 2025-01-11,78719.12,,4
TITAN,2005-01-16 to 2025-01-11,179415.38,3152.83,8
TORNTPHARM,2005-01-16 to 2025-01-11,186828.69,,9
TRENT,2005-01-16 to 2025-01-11,149120.67,,6
ULTRACEMCO,2005-01-16 to 2025-01-11,118085.21,,7
UNIONBANK,2005-01-16 to 2025-01-11,-2998.09,-66395.33,3
UNITDSPR,2005-01-16 to 2025-01-11,0,,0
VBL,2005-01-16 to 2025-01-11,0,,0
VEDL,2005-01-16 to 2025-01-11,131377.23,,5
WIPRO,2005-01-16 to 2025-01-11,71466.9,,7
ZOMATO,2005-01-16 to 2025-01-11,36170.21,,1
ZYDUSLIFE,2005-01-16 to 2025-01-11,75708.06,4958.46,8
Total,,8441533,-275735,534
Per trade,,15808,-516,
