Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ADANIENT,2015-01-12 to 2025-01-09,125130.68,-10126.31,4
ADANIPORTS,2015-01-12 to 2025-01-09,10116.69,-3314.31,4
APOLLOHOSP,2015-01-12 to 2025-01-09,31117.72,,2
ASIANPAINT,2015-01-12 to 2025-01-09,81623.18,2014.64,5
AXISBANK,2015-01-12 to 2025-01-09,115841.34,0.0,6
BAJAJ-AUTO,2015-01-12 to 2025-01-09,73151.11,,5
BAJFINANCE,2015-01-12 to 2025-01-09,144785.45,,3
BAJAJFINSV,2015-01-12 to 2025-01-09,114836.37,,3
BEL,2015-01-12 to 2025-01-09,14671.93,,2
BPCL,2015-01-12 to 2025-01-09,55809.99,,4
BHARTIARTL,2015-01-12 to 2025-01-09,47740.76,,4
BRITANNIA,2015-01-12 to 2025-01-09,61892.97,,4
CIPLA,2015-01-12 to 2025-01-09,17533.32,,2
COALINDIA,2015-01-12 to 2025-01-09,4102.81,-1616.66,2
DRREDDY,2015-01-12 to 2025-01-09,12529.05,,3
EICHERMOT,2015-01-12 to 2025-01-09,51773.96,,3
GRASIM,2015-01-12 to 2025-01-09,26580.8,,2
HCLTECH,2015-01-12 to 2025-01-09,6735.3,,2
HDFCBANK,2015-01-12 to 2025-01-09,49319.47,,3
HDFCLIFE,2015-01-12 to 2025-01-09,88976.5,,4
HEROMOTOCO,2015-01-12 to 2025-01-09,30546.42,0.0,4
HINDALCO,2015-01-12 to 2025-01-09,40601.9,,2
HINDUNILVR,2015-01-12 to 2025-01-09,64119.35,,4
ICICIBANK,2015-01-12 to 2025-01-09,107261.77,,4
ITC,2015-01-12 to 2025-01-09,32842.29,,3
INDUSINDBK,2015-01-12 to 2025-01-09,-29628.0,-31512.44,2
INFY,2015-01-12 to 2025-01-09,99799.26,,4
JSWSTEEL,2015-01-12 to 2025-01-09,91681.6,,3
KOTAKBANK,2015-01-12 to 2025-01-09,97496.09,,5
LT,2015-01-12 to 2025-01-09,61073.57,,4
M&M,2015-01-12 to 2025-01-09,56167.37,,4
MARUTI,2015-01-12 to 2025-01-09,114100.45,6752.63,6
NTPC,2015-01-12 to 2025-01-09,10820.18,,2
NESTLEIND,2015-01-12 to 2025-01-09,42134.55,-2447.71,4
ONGC,2015-01-12 to 2025-01-09,67878.16,13408.56,6
POWERGRID,2015-01-12 to 2025-01-09,21390.66,,4
RELIANCE,2015-01-12 to 2025-01-09,17983.19,376.76,2
SBILIFE,2015-01-12 to 2025-01-09,46494.21,,3
SHRIRAMFIN,2015-01-12 to 2025-01-09,158306.58,,5
SBIN,2015-01-12 to 2025-01-09,30109.41,,3
SUNPHARMA,2015-01-12 to 2025-01-09,4503.11,,1
TCS,2015-01-12 to 2025-01-09,62645.38,,4
TATACONSUM,2015-01-12 to 2025-01-09,82751.0,617.34,5
TATAMOTORS,2015-01-12 to 2025-01-09,93672.7,1403.15,4
TATASTEEL,2015-01-12 to 2025-01-09,56363.08,-4692.1,4
TECHM,2015-01-12 to 2025-01-09,75509.97,,3
TITAN,2015-01-12 to 2025-01-09,99036.8,4466.13,4
TRENT,2015-01-12 to 2025-01-09,0,,0
ULTRACEMCO,2015-01-12 to 2025-01-09,64158.07,,4
WIPRO,2015-01-12 to 2025-01-09,41577.48,,4
