Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
ADANIENT,2015-11-26,2017-03-01,15.37,45.01,53.4,18644.06,14.49,Completed
ADANIENT,2019-05-08,2019-10-25,5.67,120.9,181.3,49958.64,138.68,Completed
ADANIENT,2023-03-31,2024-01-01,9.2,1750.45,2917.2,66654.29,96.49,Completed
ADANIENT,2024-10-28,Still Holding,2.4,2798.65,2515.25,-10126.31,,Holding
ADANIPORTS,2015-11-03,2016-10-25,11.9,291.2,312.8,7417.57,7.59,Completed
ADANIPORTS,2018-06-07,2019-05-20,11.57,380.05,400.1,5275.63,5.56,Completed
ADANIPORTS,2019-12-30,2020-11-05,10.37,365.95,368.65,737.8,0.87,Completed
ADANIPORTS,2024-12-23,Still Holding,0.53,1191.8,1152.3,-3314.31,,Holding
APOLLOHOSP,2016-06-28,2019-01-14,31.0,1319.15,1322.6,261.53,0.1,Completed
APOLLOHOSP,2022-05-11,2022-11-24,6.57,3679.65,4815.05,30856.19,64.59,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.3,2288.25,2334.35,2014.64,,Holding
AXISBANK,2015-11-03,2016-07-01,8.03,474.65,542.9,14379.02,22.57,Completed
AXISBANK,2017-01-20,2017-06-29,5.33,450.75,512.1,13610.64,33.79,Completed
AXISBANK,2018-06-27,2018-08-30,2.13,507.85,649.75,27941.32,307.66,Completed
AXISBANK,2020-03-17,2020-11-25,8.43,488.35,599.85,22831.98,34.54,Completed
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.0,1074.95,1074.95,0.0,,Holding
BAJAJ-AUTO,2016-03-16,2016-06-09,2.83,2250.0,2592.35,15215.56,83.71,Completed
BAJAJ-AUTO,2018-05-09,2019-03-27,10.73,2872.0,2980.1,3763.93,4.28,Completed
BAJAJ-AUTO,2020-05-07,2020-10-12,5.27,2406.55,3022.75,25605.12,69.32,Completed
BAJAJ-AUTO,2021-11-12,2022-06-06,6.87,3635.05,3817.0,5005.43,9.04,Completed
BAJAJ-AUTO,2022-12-28,2023-04-28,4.03,3586.85,4431.95,23561.07,89.31,Completed
BAJFINANCE,2020-05-06,2020-11-10,6.27,2106.25,4208.55,99812.45,283.4,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
BAJAJFINSV,2020-05-05,2020-11-25,6.8,462.92,871.78,88320.88,210.35,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
BEL,2016-05-24,2016-09-30,4.3,33.6,37.72,12250.87,38.68,Completed
BEL,2018-04-13,2021-03-01,35.1,47.5,48.65,2421.06,0.83,Completed
BPCL,2016-03-02,2016-06-07,3.23,131.1,162.71,24110.08,125.42,Completed
BPCL,2018-03-27,2019-10-07,18.63,210.38,245.32,16613.19,10.56,Completed
BPCL,2020-05-04,2021-01-08,8.3,173.95,200.07,15018.68,22.77,Completed
BPCL,2021-11-29,2023-05-08,17.5,183.73,183.85,68.04,0.05,Completed
BHARTIARTL,2015-11-19,2016-07-05,7.63,306.02,329.77,7760.26,12.65,Completed
BHARTIARTL,2016-11-11,2017-05-15,6.17,271.64,328.19,20819.51,45.23,Completed
BHARTIARTL,2018-05-11,2019-06-07,13.07,348.43,350.52,600.69,0.56,Completed
BHARTIARTL,2022-07-11,2022-10-18,3.3,660.55,783.15,18560.3,87.33,Completed
BRITANNIA,2016-03-15,2016-08-24,5.4,1379.38,1716.47,24438.6,63.66,Completed
BRITANNIA,2019-07-10,2020-01-27,6.7,2769.55,3174.2,14610.67,28.1,Completed
BRITANNIA,2021-02-17,2021-08-20,6.13,3364.0,3895.95,15813.02,33.81,Completed
BRITANNIA,2022-02-17,2022-08-29,6.43,3464.1,3707.65,7030.68,13.71,Completed
CIPLA,2015-11-23,2018-08-24,33.5,641.45,651.2,1519.99,0.55,Completed
CIPLA,2019-01-11,2020-05-08,16.1,510.2,591.9,16013.33,11.88,Completed
COALINDIA,2015-11-04,2023-11-13,97.7,330.45,349.35,5719.47,0.7,Completed
COALINDIA,2024-12-26,Still Holding,0.43,386.6,380.35,-1616.66,,Holding
DRREDDY,2016-01-19,2016-12-08,10.8,583.1,642.34,10159.5,11.52,Completed
DRREDDY,2017-01-13,2020-01-17,36.63,595.95,606.87,1832.37,0.6,Completed
DRREDDY,2021-11-24,2023-03-31,16.4,919.61,924.55,537.18,0.4,Completed
EICHERMOT,2018-02-21,2021-01-08,35.07,2736.57,2760.85,887.06,0.31,Completed
EICHERMOT,2022-03-25,2022-07-25,4.07,2336.85,3086.7,32088.06,129.93,Completed
EICHERMOT,2023-03-27,2023-11-03,7.37,2885.55,3428.0,18798.84,32.91,Completed
GRASIM,2018-04-24,2021-02-01,33.8,1076.12,1121.19,4188.26,1.49,Completed
GRASIM,2022-05-31,2022-11-14,5.57,1422.94,1741.58,22392.54,55.52,Completed
HCLTECH,2015-11-10,2017-01-23,14.67,425.65,428.65,704.8,0.58,Completed
HCLTECH,2022-05-13,2023-01-27,8.63,1052.15,1115.6,6030.5,8.6,Completed
HDFCBANK,2020-04-08,2020-10-15,6.33,888.9,1169.25,31538.98,69.32,Completed
