Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ADANIENT,2005-01-14 to 2025-01-09,307435.63,-10126.31,7
ADANIPORTS,2005-01-14 to 2025-01-09,78837.5,-3314.31,7
APOLLOHOSP,2005-01-14 to 2025-01-09,90762.89,,5
ASIANPAINT,2005-01-14 to 2025-01-09,102492.61,2014.64,6
AXISBANK,2005-01-14 to 2025-01-09,159984.48,0,9
BAJAJ-AUTO,2005-01-14 to 2025-01-09,141400.31,,9
BAJFINANCE,2005-01-14 to 2025-01-09,185051.71,,5
BAJAJFINSV,2005-01-14 to 2025-01-09,126964.88,,5
BEL,2005-01-14 to 2025-01-09,16490.45,,4
BPCL,2005-01-14 to 2025-01-09,217440.58,,9
BHARTIARTL,2005-01-14 to 2025-01-09,74689.91,,7
BRITANNIA,2005-01-14 to 2025-01-09,145468.55,,9
CIPLA,2005-01-14 to 2025-01-09,95247.37,,7
COALINDIA,2005-01-14 to 2025-01-09,33357.18,-1616.66,4
DRREDDY,2005-01-14 to 2025-01-09,26311.25,,5
EICHERMOT,2005-01-14 to 2025-01-09,130915.93,,5
GRASIM,2005-01-14 to 2025-01-09,75333.5,,6
HCLTECH,2005-01-14 to 2025-01-09,39840.66,,4
HDFCBANK,2005-01-14 to 2025-01-09,128074.16,,6
HDFCLIFE,2005-01-14 to 2025-01-09,88976.5,,4
HEROMOTOCO,2005-01-14 to 2025-01-09,85467.08,0,8
HINDALCO,2005-01-14 to 2025-01-09,24555.51,,5
HINDUNILVR,2005-01-14 to 2025-01-09,99217.28,,7
ICICIBANK,2005-01-14 to 2025-01-09,144654.63,,7
ITC,2005-01-14 to 2025-01-09,114673.24,,7
INDUSINDBK,2005-01-14 to 2025-01-09,62554.72,-31512.44,6
INFY,2005-01-14 to 2025-01-09,134478.58,,7
JSWSTEEL,2005-01-14 to 2025-01-09,174142.51,,8
KOTAKBANK,2005-01-14 to 2025-01-09,102641.76,,6
LT,2005-01-14 to 2025-01-09,86618.53,,7
M&M,2005-01-14 to 2025-01-09,116569.99,,8
MARUTI,2005-01-14 to 2025-01-09,203363.97,6752.63,10
NTPC,2005-01-14 to 2025-01-09,11198.02,,2
NESTLEIND,2005-01-14 to 2025-01-09,103185.93,-2447.71,6
ONGC,2005-01-14 to 2025-01-09,91782.95,13408.56,6
POWERGRID,2005-01-14 to 2025-01-09,73413.96,,8
RELIANCE,2005-01-14 to 2025-01-09,33318.03,376.76,5
SBILIFE,2005-01-14 to 2025-01-09,46494.21,,3
SHRIRAMFIN,2005-01-14 to 2025-01-09,180555.39,,8
SBIN,2005-01-14 to 2025-01-09,111642.6,,7
SUNPHARMA,2005-01-14 to 2025-01-09,33022.51,,2
TCS,2005-01-14 to 2025-01-09,88827.86,,6
TATACONSUM,2005-01-14 to 2025-01-09,171021.96,617.34,9
TATAMOTORS,2005-01-14 to 2025-01-09,96424.01,1403.15,7
TATASTEEL,2005-01-14 to 2025-01-09,32830,-4692.1,7
TECHM,2005-01-14 to 2025-01-09,78719.12,,4
TITAN,2005-01-14 to 2025-01-09,180728.68,4466.13,8
TRENT,2005-01-14 to 2025-01-09,149120.67,,6
ULTRACEMCO,2005-01-14 to 2025-01-09,118085.21,,7
WIPRO,2005-01-14 to 2025-01-09,71466.9,,7
Total,,5285852,-24670,317
Per trade,,16675,-78,
