Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
ADANIENT,2005-11-02,2006-05-12,6.37,4.55,12.35,171296.29,573.46,Completed
ADANIENT,2008-08-18,2009-06-24,10.33,49.17,54.9,11667.06,13.87,Completed
ADANIENT,2011-10-11,2014-04-10,30.4,70.31,72.02,2419.62,0.96,Completed
ADANIENT,2015-08-03,2017-03-01,19.2,46.21,53.4,15566.04,9.6,Completed
ADANIENT,2019-05-08,2019-10-25,5.67,120.9,181.3,49958.64,138.68,Completed
ADANIENT,2023-03-31,2024-01-01,9.2,1750.45,2917.2,66654.29,96.49,Completed
ADANIENT,2024-10-28,Still Holding,2.4,2798.65,2515.25,-10126.31,,Holding
ADANIPORTS,2008-09-19,2009-06-12,8.87,91.28,133.12,45836.98,67.82,Completed
ADANIPORTS,2011-02-28,2011-11-01,8.2,138.0,160.1,16014.5,24.66,Completed
ADANIPORTS,2011-12-16,2012-12-24,12.47,126.65,135.35,6869.33,6.7,Completed
ADANIPORTS,2015-11-03,2016-10-25,11.9,291.2,312.8,7417.57,7.59,Completed
ADANIPORTS,2018-06-07,2019-05-20,11.57,380.05,400.1,5275.63,5.56,Completed
ADANIPORTS,2019-12-30,2020-11-05,10.37,365.95,368.65,737.8,0.87,Completed
ADANIPORTS,2024-12-23,Still Holding,0.53,1191.8,1152.3,-3314.31,,Holding
APOLLOHOSP,2006-07-11,2007-03-20,8.4,200.73,249.07,24087.68,36.7,Completed
APOLLOHOSP,2007-11-08,2009-06-29,19.97,229.82,282.42,22886.98,13.38,Completed
APOLLOHOSP,2013-12-11,2014-06-05,5.87,850.4,958.15,12670.51,28.07,Completed
APOLLOHOSP,2016-06-28,2019-01-14,31.0,1319.15,1322.6,261.53,0.1,Completed
APOLLOHOSP,2022-05-11,2022-11-24,6.57,3679.65,4815.05,30856.19,64.59,Completed
ASIANPAINT,2008-10-20,2009-07-14,8.9,96.39,116.5,20869.43,29.58,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.3,2288.25,2334.35,2014.64,,Holding
AXISBANK,2008-06-18,2009-07-02,12.63,150.1,170.74,13750.83,13.21,Completed
AXISBANK,2011-06-16,2012-11-27,17.67,243.57,258.01,5928.48,4.05,Completed
AXISBANK,2013-08-01,2014-03-07,7.27,217.16,281.36,29563.45,54.29,Completed
AXISBANK,2015-10-07,2016-07-01,8.93,496.8,542.9,9279.4,12.85,Completed
AXISBANK,2017-01-20,2017-06-29,5.33,450.75,512.1,13610.64,33.79,Completed
AXISBANK,2018-06-27,2018-08-30,2.13,507.85,649.75,27941.32,307.66,Completed
AXISBANK,2020-03-17,2020-11-25,8.43,488.35,599.85,22831.98,34.54,Completed
AXISBANK,2022-05-13,2022-11-01,5.73,635.95,871.75,37078.38,95.28,Completed
AXISBANK,2025-01-08,Still Holding,0.0,1074.95,1074.95,0.0,,Holding
BAJAJ-AUTO,2006-12-18,2007-12-05,11.73,638.65,700.85,9739.29,10.12,Completed
BAJAJ-AUTO,2008-05-26,2009-05-11,11.67,302.38,340.5,12608.52,13.18,Completed
BAJAJ-AUTO,2012-07-17,2012-10-22,3.23,1445.05,1786.4,23622.02,122.1,Completed
BAJAJ-AUTO,2015-04-20,2015-12-04,7.6,2022.05,2472.55,22279.37,37.99,Completed
BAJAJ-AUTO,2016-03-16,2016-06-09,2.83,2250.0,2592.35,15215.56,83.71,Completed
BAJAJ-AUTO,2018-05-09,2019-03-27,10.73,2872.0,2980.1,3763.93,4.28,Completed
BAJAJ-AUTO,2020-05-07,2020-10-12,5.27,2406.55,3022.75,25605.12,69.32,Completed
BAJAJ-AUTO,2021-11-12,2022-06-06,6.87,3635.05,3817.0,5005.43,9.04,Completed
BAJAJ-AUTO,2022-12-28,2023-04-28,4.03,3586.85,4431.95,23561.07,89.31,Completed
BAJFINANCE,2007-09-11,2010-04-20,31.73,35.07,37.49,6898.46,2.59,Completed
BAJFINANCE,2011-06-24,2012-02-02,7.43,56.37,75.18,33367.8,60.21,Completed
BAJFINANCE,2020-05-06,2020-11-10,6.27,2106.25,4208.55,99812.45,283.4,Completed
BAJFINANCE,2022-05-10,2023-07-25,14.7,5928.45,7606.45,28304.19,22.91,Completed
BAJFINANCE,2024-03-04,2024-10-01,7.03,6602.45,7703.0,16668.81,30.56,Completed
BAJAJFINSV,2006-12-18,2007-12-05,11.73,2554.6,2800.0,9606.2,9.98,Completed
BAJAJFINSV,2008-03-26,2018-07-20,125.6,650.0,666.4,2522.31,0.24,Completed
BAJAJFINSV,2020-05-05,2020-11-25,6.8,462.92,871.78,88320.88,210.35,Completed
BAJAJFINSV,2022-05-02,2023-09-28,17.13,1495.74,1539.7,2938.67,2.08,Completed
BAJAJFINSV,2024-08-19,2024-09-20,1.07,1551.1,1916.8,23576.82,1018.55,Completed
BEL,2008-03-04,2009-05-25,14.9,13.4,13.54,1036.44,0.85,Completed
BEL,2010-08-20,2014-06-05,46.17,17.89,18.03,782.08,0.21,Completed
BEL,2016-05-24,2016-09-30,4.3,33.6,37.72,12250.87,38.68,Completed
BEL,2018-04-13,2021-03-01,35.1,47.5,48.65,2421.06,0.83,Completed
BPCL,2006-06-27,2007-11-15,16.87,27.6,35.53,28728.86,19.98,Completed
BPCL,2008-06-20,2009-01-07,6.7,22.05,30.65,38994.89,81.83,Completed
BPCL,2011-03-03,2011-08-17,5.57,47.57,57.12,20094.61,49.21,Completed
BPCL,2011-12-26,2012-05-21,4.9,41.74,60.48,44899.19,151.15,Completed
BPCL,2013-08-08,2014-02-14,6.33,46.0,59.3,28913.04,62.89,Completed
BPCL,2016-03-02,2016-06-07,3.23,131.1,162.71,24110.08,125.42,Completed
BPCL,2018-03-27,2019-10-07,18.63,210.38,245.32,16613.19,10.56,Completed
BPCL,2020-05-04,2021-01-08,8.3,173.95,200.07,15018.68,22.77,Completed
BPCL,2021-11-29,2023-05-08,17.5,183.73,183.85,68.04,0.05,Completed
