Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
NESTLEIND,2010-01-14 to 2025-01-10,72529.51,-859.12,5
HINDUNILVR,2010-01-14 to 2025-01-10,82371.46,,5
M&M,2010-01-14 to 2025-01-10,83880.16,,6
KOTAKBANK,2010-01-14 to 2025-01-10,97496.09,,5
ASIANPAINT,2010-01-14 to 2025-01-10,82315.85,2707.31,5
BHARTIARTL,2010-01-14 to 2025-01-10,55666.95,,5
ITC,2010-01-14 to 2025-01-10,61122.12,,5
HCLTECH,2010-01-14 to 2025-01-10,39341.39,,3
TITAN,2010-01-14 to 2025-01-10,161330.64,4556.08,7
INDUSINDBK,2010-01-14 to 2025-01-10,30321.54,-31522.91,4
ICICIBANK,2010-01-14 to 2025-01-10,142659.57,,6
BAJAJFINSV,2010-01-14 to 2025-01-10,191330.23,,5
POWERGRID,2010-01-14 to 2025-01-10,43751.71,,7
SUNPHARMA,2010-01-14 to 2025-01-10,4503.11,,1
MARUTI,2010-01-14 to 2025-01-10,122309.49,6017.14,7
RELIANCE,2010-01-14 to 2025-01-10,30347.27,-475.91,4
INFY,2010-01-14 to 2025-01-10,133422.6,,6
BAJFINANCE,2010-01-14 to 2025-01-10,178153.25,,4
ULTRACEMCO,2010-01-14 to 2025-01-10,117063.88,,6
TECHM,2010-01-14 to 2025-01-10,126162.04,,5
AXISBANK,2010-01-14 to 2025-01-10,145005.69,-1227.96,8
SBIN,2010-01-14 to 2025-01-10,31564.6,,5
NTPC,2010-01-14 to 2025-01-10,11468.3,,3
HDFCBANK,2010-01-14 to 2025-01-10,102572.1,,5
TCS,2010-01-14 to 2025-01-10,86958.05,,5
ADANIPORTS,2010-01-14 to 2025-01-10,31326.57,-4988.26,6
TATAMOTORS,2010-01-14 to 2025-01-10,88384.7,-491.11,5
LT,2010-01-14 to 2025-01-10,79186.41,,6
ZOMATO,2010-01-14 to 2025-01-10,36170.21,,1
TATASTEEL,2010-01-14 to 2025-01-10,12444.96,-6639.37,5
