Stock,Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
NESTLEIND,2010-01-08,2010-10-12,9.23,249.46,329.9,32245.01,44.52,Completed
NESTLEIND,2014-04-11,2014-09-08,5.0,482.96,639.98,32511.67,98.37,Completed
NESTLEIND,2015-09-03,2016-07-15,10.53,603.54,663.29,9899.84,11.52,Completed
NESTLEIND,2017-01-19,2017-06-09,4.7,591.15,666.75,12789.58,36.55,Completed
NESTLEIND,2022-03-25,2022-10-25,7.13,1716.12,2028.24,18187.54,32.98,Completed
NESTLEIND,2024-11-06,Still Holding,2.13,2275.6,2256.05,-859.12,,Holding
HINDUNILVR,2006-12-15,2008-03-18,15.3,230.75,231.55,346.7,0.28,Completed
HINDUNILVR,2010-03-11,2010-09-01,5.8,228.8,266.55,16499.12,37.76,Completed
HINDUNILVR,2014-03-03,2014-07-07,4.2,543.2,627.6,15537.55,51.95,Completed
HINDUNILVR,2015-09-23,2016-06-17,8.93,785.0,881.35,12273.88,17.08,Completed
HINDUNILVR,2016-12-23,2017-05-12,4.67,789.5,980.2,24154.53,75.78,Completed
HINDUNILVR,2022-02-08,2022-08-16,6.3,2264.35,2644.5,16788.48,34.95,Completed
HINDUNILVR,2023-11-13,2024-08-23,9.47,2478.15,2815.6,13617.02,17.83,Completed
M&M,2007-06-27,2008-01-04,6.37,179.81,205.94,14529.02,29.59,Completed
M&M,2008-03-14,2009-06-10,15.1,162.3,191.77,18160.81,14.39,Completed
M&M,2012-03-22,2012-08-29,5.33,343.0,385.9,12507.29,30.84,Completed
M&M,2015-03-09,2015-08-07,5.03,603.4,695.15,15205.5,40.8,Completed
M&M,2016-02-09,2016-06-08,4.0,591.6,693.15,17165.32,61.91,Completed
M&M,2016-12-27,2017-06-09,5.47,583.62,713.35,22227.45,56.32,Completed
M&M,2019-01-02,2020-12-02,23.33,741.7,753.6,1604.42,0.83,Completed
M&M,2021-09-15,2022-01-28,4.5,755.1,869.65,15170.18,46.5,Completed
KOTAKBANK,2008-06-06,2009-06-29,12.93,159.6,167.81,5145.67,4.83,Completed
KOTAKBANK,2016-03-01,2016-05-13,2.43,638.45,708.25,10932.73,68.0,Completed
KOTAKBANK,2020-05-07,2020-11-12,6.3,1199.8,1754.75,46253.54,108.38,Completed
KOTAKBANK,2021-07-23,2021-10-28,3.23,1722.95,2098.5,21796.92,110.01,Completed
KOTAKBANK,2022-04-07,2022-11-11,7.27,1766.45,1899.1,7509.41,12.89,Completed
KOTAKBANK,2023-03-17,2024-10-01,18.8,1693.1,1879.4,11003.49,6.99,Completed
ASIANPAINT,2008-10-20,2009-07-14,8.9,96.39,116.5,20869.43,29.58,Completed
ASIANPAINT,2018-02-20,2018-05-25,3.13,1126.4,1292.35,14732.77,70.52,Completed
ASIANPAINT,2020-06-15,2020-09-30,3.57,1618.2,1986.4,22753.68,101.24,Completed
ASIANPAINT,2022-05-26,2023-07-20,14.0,2840.15,3526.0,24148.38,20.68,Completed
ASIANPAINT,2024-02-29,2024-09-30,7.13,2821.9,3329.1,17973.71,32.57,Completed
ASIANPAINT,2024-12-30,Still Holding,0.33,2288.25,2350.2,2707.31,,Holding
BHARTIARTL,2008-03-24,2009-07-01,15.47,360.68,371.43,2979.76,2.34,Completed
BHARTIARTL,2009-12-21,2010-10-04,9.57,279.48,324.32,16043.2,20.83,Completed
BHARTIARTL,2012-01-06,2013-10-18,21.7,297.91,321.52,7926.19,4.37,Completed
BHARTIARTL,2015-11-19,2016-07-05,7.63,306.02,329.77,7760.26,12.65,Completed
BHARTIARTL,2016-11-11,2017-05-15,6.17,271.64,328.19,20819.51,45.23,Completed
BHARTIARTL,2018-05-11,2019-06-07,13.07,348.43,350.52,600.69,0.56,Completed
BHARTIARTL,2022-07-11,2022-10-18,3.3,660.55,783.15,18560.3,87.33,Completed
ITC,2007-03-15,2007-09-28,6.57,49.1,63.27,28852.69,59.95,Completed
ITC,2008-10-08,2009-05-18,7.4,55.27,68.92,24698.43,43.75,Completed
