Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
NESTLEIND,2005-01-15 to 2025-01-10,104774.52,-859.12,6
HINDUNILVR,2005-01-15 to 2025-01-10,99217.28,,7
M&M,2005-01-15 to 2025-01-10,116569.99,,8
KOTAKBANK,2005-01-15 to 2025-01-10,102641.76,,6
ASIANPAINT,2005-01-15 to 2025-01-10,103185.28,2707.31,6
BHARTIARTL,2005-01-15 to 2025-01-10,74689.91,,7
ITC,2005-01-15 to 2025-01-10,114673.24,,7
HCLTECH,2005-01-15 to 2025-01-10,39840.66,,4
TITAN,2005-01-15 to 2025-01-10,180818.63,4556.08,8
INDUSINDBK,2005-01-15 to 2025-01-10,62544.25,-31522.91,6
ICICIBANK,2005-01-15 to 2025-01-10,144654.63,,7
BAJAJFINSV,2005-01-15 to 2025-01-10,126964.88,,5
POWERGRID,2005-01-15 to 2025-01-10,73413.96,,8
SUNPHARMA,2005-01-15 to 2025-01-10,33022.51,,2
MARUTI,2005-01-15 to 2025-01-10,202628.48,6017.14,10
RELIANCE,2005-01-15 to 2025-01-10,32465.36,-475.91,5
INFY,2005-01-15 to 2025-01-10,134478.58,,7
BAJFINANCE,2005-01-15 to 2025-01-10,185051.71,,5
ULTRACEMCO,2005-01-15 to 2025-01-10,118085.21,,7
TECHM,2005-01-15 to 2025-01-10,78719.12,,4
AXISBANK,2005-01-15 to 2025-01-10,158756.52,-1227.96,9
SBIN,2005-01-15 to 2025-01-10,111642.6,,7
NTPC,2005-01-15 to 2025-01-10,11198.02,,2
HDFCBANK,2005-01-15 to 2025-01-10,128074.16,,6
TCS,2005-01-15 to 2025-01-10,88827.86,,6
ADANIPORTS,2005-01-15 to 2025-01-10,77163.55,-4988.26,7
TATAMOTORS,2005-01-15 to 2025-01-10,94529.75,-491.11,7
LT,2005-01-15 to 2025-01-10,86618.53,,7
ZOMATO,2005-01-15 to 2025-01-10,36170.21,,1
TATASTEEL,2005-01-15 to 2025-01-10,30882.73,-6639.37,7
